land,productSlug,productSlugPath,originalImageUrl,uploadsRel,expectedSourcePath,sourcePath,resolvedFromOtherProduct,targetPath,newUrlPath,status,error
"engeland","kent-coast-links-golf","golfreizen/engeland/kent-coast-links-golf","https://authentic.golf/wp-content/uploads/2021/11/IMG_1750-1-scaled-e1636820030990.jpeg","2021/11/IMG_1750-1-scaled-e1636820030990.jpeg","product-media/golfreizen/engeland/kent-coast-links-golf/2021/11/IMG_1750-1-scaled-e1636820030990.jpeg","product-media/golfreizen/engeland/kent-coast-links-golf/2021/11/IMG_1750-1-scaled-e1636820030990.jpeg","false","product-media-seo-v2/golfreizen/engeland/kent-coast-links-golf/2021/11/engeland-kent-coast-links-golf-img-1750-1-scaled-e1636820030990.jpeg","/product-media-seo-v2/golfreizen/engeland/kent-coast-links-golf/2021/11/engeland-kent-coast-links-golf-img-1750-1-scaled-e1636820030990.jpeg","copied",""
"engeland","kent-coast-links-golf","golfreizen/engeland/kent-coast-links-golf","https://authentic.golf/wp-content/uploads/2016/08/The-Lodge-at-Princes-2.jpg","2016/08/The-Lodge-at-Princes-2.jpg","product-media/golfreizen/engeland/kent-coast-links-golf/2016/08/The-Lodge-at-Princes-2.jpg","product-media/golfreizen/engeland/kent-coast-links-golf/2016/08/The-Lodge-at-Princes-2.jpg","false","product-media-seo-v2/golfreizen/engeland/kent-coast-links-golf/2016/08/engeland-kent-coast-links-golf-the-lodge-at-princes-2.jpg","/product-media-seo-v2/golfreizen/engeland/kent-coast-links-golf/2016/08/engeland-kent-coast-links-golf-the-lodge-at-princes-2.jpg","missing","source_missing"
"engeland","kent-coast-links-golf","golfreizen/engeland/kent-coast-links-golf","https://authentic.golf/wp-content/uploads/2016/08/Kings-head.jpg","2016/08/Kings-head.jpg","product-media/golfreizen/engeland/kent-coast-links-golf/2016/08/Kings-head.jpg","product-media/golfreizen/engeland/kent-coast-links-golf/2016/08/Kings-head.jpg","false","product-media-seo-v2/golfreizen/engeland/kent-coast-links-golf/2016/08/engeland-kent-coast-links-golf-kings-head.jpg","/product-media-seo-v2/golfreizen/engeland/kent-coast-links-golf/2016/08/engeland-kent-coast-links-golf-kings-head.jpg","missing","source_missing"
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2016/08/AG13-e1470243290362.png","2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/yorkshire-golf/2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/yorkshire-golf/2016/08/AG13-e1470243290362.png","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-ag13-e1470243290362.png","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-ag13-e1470243290362.png","copied",""
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2016/08/IMG_1305-Version-5.jpg","2016/08/IMG_1305-Version-5.jpg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/IMG_1305-Version-5.jpg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/IMG_1305-Version-5.jpg","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-img-1305-version-5.jpg","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-img-1305-version-5.jpg","missing","source_missing"
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2016/08/Moortown.jpg","2016/08/Moortown.jpg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/Moortown.jpg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/Moortown.jpg","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-moortown.jpg","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-moortown.jpg","missing","source_missing"
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2016/08/SMGC-No-5.jpg","2016/08/SMGC-No-5.jpg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/SMGC-No-5.jpg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/SMGC-No-5.jpg","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-smgc-no-5.jpg","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-smgc-no-5.jpg","missing","source_missing"
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2016/08/unspecified-3.jpeg","2016/08/unspecified-3.jpeg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/unspecified-3.jpeg","product-media/golfreizen/engeland/yorkshire-golf/2016/08/unspecified-3.jpeg","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-unspecified-3.jpeg","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2016/08/engeland-yorkshire-golf-unspecified-3.jpeg","missing","source_missing"
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2019/08/155460596-1.jpg","2019/08/155460596-1.jpg","product-media/golfreizen/engeland/yorkshire-golf/2019/08/155460596-1.jpg","product-media/golfreizen/engeland/yorkshire-golf/2019/08/155460596-1.jpg","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2019/08/engeland-yorkshire-golf-155460596-1.jpg","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2019/08/engeland-yorkshire-golf-155460596-1.jpg","copied",""
"engeland","yorkshire-golf","golfreizen/engeland/yorkshire-golf","https://authentic.golf/wp-content/uploads/2017/04/home-page-slide-11.jpg","2017/04/home-page-slide-11.jpg","product-media/golfreizen/engeland/yorkshire-golf/2017/04/home-page-slide-11.jpg","product-media/golfreizen/engeland/yorkshire-golf/2017/04/home-page-slide-11.jpg","false","product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2017/04/engeland-yorkshire-golf-home-page-slide-11.jpg","/product-media-seo-v2/golfreizen/engeland/yorkshire-golf/2017/04/engeland-yorkshire-golf-home-page-slide-11.jpg","copied",""
